Base de datos,Taxonomia,Material,LLRS,Nivel de Ductilidad,Pisos,IM,theta1,beta1,theta2,beta2,theta3,beta3,theta4,beta4,theta5,beta5
Hazus,C1H,CR,LFM,High-Code,8+,Equivalent PGA,0.11,0.64,0.22,0.64,0.62,0.64,1.35,0.64,0,0
Hazus,C1H,CR,LFM,Moderate-Code,8+,Equivalent PGA,0.11,0.64,0.18,0.64,0.41,0.64,0.74,0.64,0,0
Hazus,C1H,CR,LFM,Low-Code,8+,Equivalent PGA,0.1,0.64,0.15,0.64,0.27,0.64,0.44,0.64,0,0
Hazus,C1H,CR,LFM,Pre-Code,8+,Equivalent PGA,0.08,0.64,0.12,0.64,0.21,0.64,0.35,0.64,0,0
Hazus,C3H,CR,LFINF,Low-Code,8+,Equivalent PGA,0.09,0.64,0.16,0.64,0.33,0.64,0.53,0.64,0,0
Hazus,C3H,CR,LFINF,Pre-Code,8+,Equivalent PGA,0.08,0.64,0.13,0.64,0.27,0.64,0.43,0.64,0,0
OpenQuake,CR LDUAL DUC,CR,LDUAL,DUC,8-19,PGA [g],0.1539,0.1181,0.8984,0.6895,2.3514,1.8046,4.2405,3.2543,6.8853,5.2841
OpenQuake,CR LDUAL DNO,CR,LDUAL,DNO,8-19,PGA [g],0.012,0.0096,0.1245,0.0991,0.4229,0.3365,2.4872,1.9792,5.8853,4.6833
OpenQuake,CR LFINF DUC,CR,LFINF,DUC,8-19,PGA [g],0.1746,0.134,0.7,0.5372,2.2825,1.7516,4.5813,3.5159,7.7996,5.9857
OpenQuake,CR LFINF DNO,CR,LFINF,DNO,8-19,PGA [g],0.1273,0.1013,0.2732,0.2174,0.6593,0.5247,2.5662,2.0421,5.6174,4.4701
OpenQuake,CR LDUAL DUC,CR,LDUAL,DUC,8-19,PGA [g],0.1583,0.1215,0.8413,0.6456,2.0968,1.6091,4.737,3.6353,8.4334,6.4721
OpenQuake,CR LDUAL DNO,CR,LDUAL,DNO,8-19,PGA [g],0.1246,0.0992,0.2628,0.2091,0.4873,0.3878,3.0096,2.3949,7.4467,5.9257
OpenQuake,CR LFINF DUC,CR,LFINF,DUC,8-19,PGA [g],0.1601,0.1069,0.5125,0.3421,0.7892,0.5267,1.4205,0.9481,2.527,1.6866
OpenQuake,CR LFINF DNO,CR,LFINF,DNO,8-19,PGA [g],0.1138,0.0793,0.1936,0.1349,0.3426,0.2388,0.6123,0.4267,1.3296,0.9266
OpenQuake,CR LFINF DUC,CR,LFINF,DUC,8-19,PGA [g],0.1136,0.0758,0.3192,0.2131,0.9782,0.6529,1.8837,1.2573,5.5041,3.6737
OpenQuake,CR LFINF DNO,CR,LFINF,DNO,8-19,PGA [g],0.0784,0.0546,0.2304,0.1606,0.3087,0.2152,0.4394,0.3062,1.5046,1.0486
OpenQuake,CR LFM DUC,CR,LFM,DUC,8-19,PGA [g],0.0625,0.0417,0.3036,0.2026,1.222,0.8156,2.2461,1.4992,3.3577,2.2411
OpenQuake,CR LFM DNO,CR,LFM,DNO,8-19,PGA [g],0.0371,0.0258,0.1388,0.0968,0.2617,0.1824,0.447,0.3115,1.0185,0.7098
